symbol,name,image,current_price,market_cap,market_cap_rank,total_volume,circulating_supply,total_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,ath_year,ath_month,atl_year,atl_month
btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,103254,2053633927984,1,109884508023,19944128,19944128,126080,-18.61454,2025-10-06 18:57:42.558000+00:00,68,151223.12416,2013-07-06 00:00:00+00:00,2025,10,2013,7
eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3350,402584535114,2,67868596754,120697275,120697275,4946,-32.68115,2025-08-24 19:21:03.333000+00:00,0,768903.58324,2015-10-20 00:00:00+00:00,2025,8,2015,10
usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1,183419490118,3,195902232727,183430228993,183430228993,1,-24.4281,2018-07-24 00:00:00+00:00,1,74.64657,2015-03-02 00:00:00+00:00,2018,7,2015,3
xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2,135617205796,4,8760580279,60107199237,99985774127,4,-38.32373,2025-07-18 03:40:53.808000+00:00,0,83622.15354,2014-05-22 00:00:00+00:00,2025,7,2014,5
bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,958,131599676955,5,4882216429,137737599,137737597,1370,-30.53823,2025-10-13 08:41:24.131000+00:00,0,2389843.41942,2017-10-19 00:00:00+00:00,2025,10,2017,10
sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,159,87508395547,6,10862542757,552740216,613405400,293,-46.18402,2025-01-19 11:15:27.957000+00:00,1,31419.23702,2020-05-11 19:35:23.449000+00:00,2025,1,2020,5
usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1,75050040836,7,15794950577,75065036793,75065036793,1,-14.7457,2019-05-08 00:40:28.300000+00:00,1,13.91628,2023-03-11 08:02:13.981000+00:00,2019,5,2023,3
steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3342,28627658393,8,164148593,8585408,8585530,4933,-32.49256,2025-08-24 19:21:31.902000+00:00,483,589.60376,2020-12-22 04:08:21.854000+00:00,2025,8,2020,12
trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0,27182453434,9,1300629408,94665903211,94665903211,0,-33.47246,2024-12-04 00:10:40.323000+00:00,0,15801.95256,2017-11-12 00:00:00+00:00,2024,12,2017,11
doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0,24977556586,10,4131831615,151620246384,151647836384,1,-77.55486,2021-05-08 05:08:23.458000+00:00,0,188848.93982,2015-05-06 00:00:00+00:00,2021,5,2015,5
ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,1,19763224480,11,1950749978,36588259707,45000000000,3,-82.52956,2021-09-02 06:00:10.474000+00:00,0,2701.14277,2020-03-13 02:22:55.044000+00:00,2021,9,2020,3
figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1,13886105251,12,24871580,13441660770,13441660770,1,-24.57197,2025-10-28 06:05:38.345000+00:00,0,564.96351,2025-10-31 14:27:24.456000+00:00,2025,10,2025,10
wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,4073,13538747672,13,52728197,3331909,3331909,7256,-44.02444,2022-05-13 15:09:54.509000+00:00,559,627.18112,2022-05-13 01:36:45.053000+00:00,2022,5,2022,5
wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,103239,13086429933,14,753283501,126763,126763,125932,-18.5932,2025-10-06 18:55:19.650000+00:00,3139,3165.73767,2019-04-02 00:00:00+00:00,2025,10,2019,4
wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,3620,11787484556,15,21304042,3264282,3264282,5331,-32.26199,2025-08-24 19:27:46.809000+00:00,1502,140.47428,2025-04-09 03:57:40.245000+00:00,2025,8,2025,4
wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,52,11229259580,16,238154239,214772248,321272248,55,-5.64159,2025-11-03 00:23:20.146000+00:00,3,1607.79404,2023-02-13 19:01:21.899000+00:00,2025,11,2023,2
hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,41,11127875481,17,1103458184,270772999,999835210,59,-31.01452,2025-09-18 03:30:30.650000+00:00,4,974.13245,2024-11-29 09:30:30.871000+00:00,2025,9,2024,11
link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,15,10356926136,18,1459354528,696849970,1000000000,53,-71.8589,2021-05-10 00:13:57.214000+00:00,0,9907.4809,2017-11-29 00:00:00+00:00,2021,5,2017,11
bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,489,9727397619,19,319619621,19948578,19948844,3786,-87.1689,2017-12-20 00:00:00+00:00,77,531.39462,2018-12-16 00:00:00+00:00,2017,12,2018,12
usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,1,9346316487,20,21192188,9345954432,9341720442,1,-5.41526,2024-10-29 05:40:51.197000+00:00,1,5.46264,2024-10-03 13:19:28.826000+00:00,2024,10,2024,10
usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1,9006022633,21,452476717,9016587857,9016587857,1,-3.21186,2023-12-20 15:38:34.596000+00:00,1,7.47156,2024-10-04 07:57:15.809000+00:00,2023,12,2024,10
bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1,8990354186,22,3625136108,8984993193,8984993193,1,-4.76294,2024-08-05 14:21:42.527000+00:00,1,6.13107,2024-12-05 22:30:39.827000+00:00,2024,8,2024,12
xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0,8894033662,23,363836330,32079707523,50001786885,1,-68.43526,2018-01-03 00:00:00+00:00,0,57945.70082,2015-03-05 00:00:00+00:00,2018,1,2015,3
weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3610,8834109854,24,57065676,2443926,2443926,5297,-31.75807,2025-08-24 19:25:19.771000+00:00,1505,140.13691,2025-04-09 03:45:31.391000+00:00,2025,8,2025,4
leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,10,8775941941,25,848235,922315861,985239504,10,-5.9324,2025-03-10 09:26:43.294000+00:00,1,1091.94154,2019-12-24 15:14:35.376000+00:00,2025,3,2019,12
cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,103072,7574746652,26,774599267,73506,73506,125954,-18.02541,2025-10-06 18:58:50.734000+00:00,57439,79.75687,2024-09-12 14:07:41.775000+00:00,2025,10,2024,9
zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,460,7514095959,27,1611281955,16370038,16371463,3192,-85.67445,2016-10-29 00:00:00+00:00,16,2743.64311,2024-07-05 04:22:29.321000+00:00,2016,10,2024,7
sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,2,7478248790,28,2107254209,3681325480,10000000000,5,-61.97847,2025-01-04 22:56:18.063000+00:00,0,457.17897,2023-10-19 10:40:30.078000+00:00,2025,1,2023,10
hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0,7337619058,29,450641975,42475229924,50000000000,1,-69.69572,2021-09-15 10:40:28.318000+00:00,0,1649.30333,2020-01-02 17:30:24.852000+00:00,2021,9,2020,1
weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3346,7245779361,30,552521364,2172866,2169897,4950,-32.71573,2025-08-24 19:28:11.411000+00:00,82,3956.62015,2018-12-15 00:00:00+00:00,2025,8,2018,12
avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,17,7079010786,31,825288879,426968855,460304773,145,-88.5864,2021-11-21 14:18:56.538000+00:00,3,490.6786,2020-12-31 13:15:21.540000+00:00,2021,11,2020,12
ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,87,6639626343,32,970356156,76480364,76487208,410,-78.89567,2021-05-10 03:13:07.904000+00:00,1,7436.5067,2015-01-14 00:00:00+00:00,2021,5,2015,1
xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,359,6597365482,33,256019551,18446744,18446744,542,-34.28522,2018-01-09 00:00:00+00:00,0,164759.60895,2015-01-14 00:00:00+00:00,2018,1,2015,1
shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,0,5317366749,34,290149805,589245419696499,589500805164440,0,-89.55191,2021-10-28 03:54:55.568000+00:00,0,15970322.45311,2020-11-28 11:26:25.838000+00:00,2021,10,2020,11
susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1,4895950839,35,237902906,4076719418,4074638103,1,-6.95674,2025-01-29 17:52:32.991000+00:00,1,18.65541,2024-04-03 14:23:03.162000+00:00,2025,1,2024,4
ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,2,4784458713,36,236455454,2486417357,5144966833,8,-76.73414,2024-06-15 00:36:51.509000+00:00,1,269.7356,2021-09-21 00:33:11.092000+00:00,2024,6,2021,9
dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1,4638686224,37,133822613,4641948373,4623609568,1,-17.90887,2020-03-13 03:02:50.373000+00:00,1,13.45572,2023-03-11 07:50:50.514000+00:00,2020,3,2023,3
cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0,4434401604,38,64229331,36099552162,98132921410,1,-87.34555,2021-11-24 15:53:54.855000+00:00,0,908.0118,2019-02-08 00:00:00+00:00,2021,11,2019,2
dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,3,4231986023,39,370342709,1633692052,1633693471,55,-95.29166,2021-11-04 14:10:09.301000+00:00,2,21.58672,2025-10-10 21:27:58.296000+00:00,2021,11,2025,10
m,MemeCore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,2,4202895032,40,17122857,1698419624,5298419623,3,-16.51242,2025-09-18 07:27:06.144000+00:00,0,5104.67312,2025-07-04 03:56:17.448000+00:00,2025,9,2025,7
mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,1,4109937666,41,238362044,3252944056,6219316795,3,-55.75133,2025-10-09 01:04:46.659000+00:00,0,310.20022,2023-10-18 02:50:46.942000+00:00,2025,10,2023,10
usdt0,USDT0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,1,3795080794,42,554496297,3794573477,3794096392,1,-4.93979,2025-01-23 22:34:53.341000+00:00,1,2.49374,2025-02-28 01:35:58.101000+00:00,2025,1,2025,2
susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1,3769748591,43,17571838,3508925525,3502044655,1,-2.79428,2025-10-10 21:52:27.019000+00:00,1,11.69519,2025-01-04 01:21:08.460000+00:00,2025,10,2025,1
tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,393,3761180894,44,706642267,9597491,21000000,758,-48.40608,2024-03-07 18:45:36.466000+00:00,31,1167.85098,2023-05-14 08:57:53.732000+00:00,2024,3,2023,5
uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,5,3327925532,45,367420225,629892750,1000000000,45,-88.2573,2021-05-03 05:25:04.822000+00:00,1,412.01142,2020-09-17 01:20:38.214000+00:00,2021,5,2020,9
wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0,3194817023,46,261690814,27251908189,100000000000,0,-64.67794,2025-09-01 12:20:09.597000+00:00,0,11.88171,2025-10-10 21:22:29.880000+00:00,2025,9,2025,10
aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,197,3001880025,47,533817253,15262241,16000000,662,-70.389,2021-05-18 21:19:59.514000+00:00,26,652.91825,2020-11-05 09:20:11.928000+00:00,2021,5,2020,11
usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,1,2965342570,48,590391152,2965826290,2965826290,1,-2.50702,2025-05-12 12:36:39.412000+00:00,1,0.96002,2025-10-01 08:51:32.103000+00:00,2025,5,2025,10
bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4,2895978724,49,74462565,699992036,919992036,8,-50.9929,2024-12-27 11:41:24.992000+00:00,0,28901.424,2020-06-25 04:17:05.895000+00:00,2024,12,2020,6
buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1,2829292849,50,0,2829292849,2829292849,1,0.0,2025-02-12 05:00:10.912000+00:00,1,0.0,2025-02-12 05:45:10.196000+00:00,2025,2,2025,2
pyusd,PayPal USD,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Logo_%282%29.png?1696530039,1,2797657572,51,419538625,2795228417,2795228417,1,-1.91041,2023-10-23 22:44:57.056000+00:00,1,4.35791,2024-12-05 22:31:13.430000+00:00,2023,10,2024,12
icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,5,2691745613,52,954971000,539523205,539523205,701,-99.28876,2021-05-10 16:05:53.653000+00:00,2,123.3085,2025-10-10 21:26:36.019000+00:00,2021,5,2025,10
okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,123,2591573345,53,161489803,21000000,21000000,256,-51.78575,2025-08-22 01:50:26.131000+00:00,1,21117.16422,2019-01-14 00:00:00+00:00,2025,8,2019,1
c1usd,Currency One USD,https://coin-images.coingecko.com/coins/images/69700/large/C1USD.webp?1759327591,1,2554602517,54,1642583,2550000000,2550000000,1,-3.02813,2025-10-12 19:41:09.216000+00:00,1,3.95547,2025-11-03 08:44:26.287000+00:00,2025,10,2025,11
ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0,2425569678,55,339427233,7423437500,15000000000,2,-78.50717,2024-04-11 13:15:15.057000+00:00,0,67.21372,2024-09-06 21:04:48.253000+00:00,2024,4,2024,9
near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2,2412217614,56,340733617,1279186140,1279186115,20,-90.80436,2022-01-16 22:09:45.873000+00:00,1,256.78621,2020-11-04 16:09:15.137000+00:00,2022,1,2020,11
pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,0,2387617593,57,660195055,420690000000000,420690000000000,0,-79.8338,2024-12-09 16:30:35.828000+00:00,0,10150.22394,2023-04-18 02:14:41.591000+00:00,2024,12,2023,4
etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,14,2224906929,58,137787335,154204592,154204592,167,-91.38525,2021-05-06 18:34:22.133000+00:00,1,2240.34039,2016-07-25 00:00:00+00:00,2021,5,2016,7
jitosol,Jito Staked SOL,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,197,2210047686,59,65139634,11237976,11237976,340,-42.31831,2025-01-19 11:21:54.080000+00:00,1,33725.21219,2023-09-12 10:21:17.665000+00:00,2025,1,2023,9
usdf,Falcon USD,https://coin-images.coingecko.com/coins/images/54558/large/ff_200_X_200.png?1740741076,1,2107609888,60,18593132,2109117713,2109117713,1,-6.95238,2025-05-08 21:25:42.071000+00:00,1,5.98363,2025-07-08 10:16:34.749000+00:00,2025,5,2025,7
aster,Aster,https://coin-images.coingecko.com/coins/images/69040/large/_ASTER.png?1757326782,1,2080346070,61,1440145706,2017700000,8000000000,2,-57.02604,2025-09-24 11:18:14.634000+00:00,0,938.10375,2025-09-17 12:05:36.771000+00:00,2025,9,2025,9
xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,3973,2075536021,62,312181247,522089,522089,4393,-9.74324,2025-10-17 05:01:31.881000+00:00,1448,173.84715,2020-03-19 13:45:41.821000+00:00,2025,10,2020,3
jlp,Jupiter Perpetuals Liquidity Provider Token,https://coin-images.coingecko.com/coins/images/33094/large/jlp.png?1700631386,5,2059325100,63,107413714,410436765,410436765,6,-16.1991,2025-10-06 17:35:59.480000+00:00,0,3317.08808,2023-11-24 05:55:06.706000+00:00,2025,10,2023,11
weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,3354,2019085047,64,151297389,605000,605000,4956,-32.6704,2025-08-24 19:14:00.505000+00:00,1394,139.30742,2025-04-09 01:32:41.942000+00:00,2025,8,2025,4
ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,1,1924780968,66,185505118,3159107529,10000000000,2,-71.64548,2024-12-16 00:36:00.777000+00:00,0,638.4979,2024-01-18 12:14:30.524000+00:00,2024,12,2024,1
sol,Wrapped SOL,https://coin-images.coingecko.com/coins/images/21629/large/solana.jpg?1696520989,159,1923952296,65,1310326787,12146334,12146334,290,-45.51634,2025-01-19 11:20:39.814000+00:00,8,1850.13175,2022-12-29 20:45:41.226000+00:00,2025,1,2022,12
apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/Aptos-Network-Symbol-Black-RGB-1x.png?1761789140,3,1893136933,67,419120153,720094789,1182942606,20,-86.82299,2023-01-26 14:25:17.390000+00:00,2,9.07445,2025-11-04 21:45:11.523000+00:00,2023,1,2025,11
pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0,1838637106,68,62549691,8296250421,12763462186,3,-92.5957,2025-02-26 16:41:03.732000+00:00,0,28.55078,2025-10-10 21:25:41.582000+00:00,2025,2,2025,10
usdtb,USDtb,https://coin-images.coingecko.com/coins/images/52804/large/76357aa8-4ef7-446c-bad3-a3f944eeec7a.jpeg?1758277468,1,1835254061,69,2195884,1832012443,1832012443,1,-5.22379,2025-09-20 13:20:33.315000+00:00,1,11.24902,2025-07-17 08:05:52.672000+00:00,2025,9,2025,7
pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/pol.png?1759114181,0,1731474875,70,114172735,10529931013,10529931013,1,-87.23441,2024-03-13 18:55:06.692000+00:00,0,28.01876,2025-10-10 21:27:23.781000+00:00,2024,3,2025,10
htx,HTX DAO,https://coin-images.coingecko.com/coins/images/35491/large/Frame_1321318576.png?1708908626,0,1646684881,71,23435025,930149437822426,930149437822426,0,-52.82964,2024-12-04 00:16:20.770000+00:00,0,120.97389,2024-08-05 13:31:33.427000+00:00,2024,12,2024,8
wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,1,1638514900,72,231348616,2270493868,10000000000,12,-93.85335,2024-03-10 00:10:42.330000+00:00,1,23.62578,2025-04-07 07:06:11.379000+00:00,2024,3,2025,4
kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,12,1578085367,73,11140835,129728857,142228857,29,-58.07532,2021-12-01 15:09:35.541000+00:00,0,3425.26681,2019-02-07 00:00:00+00:00,2021,12,2019,2
reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,3840,1471885745,74,13113800,384070,384070,5618,-31.74335,2025-08-24 19:25:20.811000+00:00,887,332.19571,2022-06-18 20:55:45.957000+00:00,2025,8,2022,6
