symbol,name,image,current_price,market_cap,market_cap_rank,total_volume,circulating_supply,total_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date
arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.262522,1443957324.0,76.0,315853438.0,5509691911.0,10000000000.0,2.39,-89.0788,2024-01-12T12:29:59.231Z,0.209573,24.56149,2025-10-10T21:25:12.404Z
pump,Pump.fun,https://coin-images.coingecko.com/coins/images/67164/large/pump.jpg?1751949376,0.00408628,1435142474.0,77.0,396604388.0,354000000000.0,999989340833.3623,0.00881908,-54.10839,2025-09-14T16:42:40.248Z,0.00228323,77.25885,2025-07-29T11:15:43.983Z
bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,171.55,1428221466.0,78.0,6938245.0,8341610.309099966,8341610.309099966,297.96,-42.52165,2025-01-19T11:30:53.744Z,100.21,70.90047,2025-04-07T06:56:20.488Z
khype,Kinetiq Staked HYPE,https://coin-images.coingecko.com/coins/images/67388/large/khype.png?1752632397,41.12,1418591982.0,79.0,56426413.0,34578614.41031568,34578614.41031568,59.44,-30.77708,2025-09-18T01:45:16.367Z,29.77,38.22916,2025-10-10T21:25:06.289Z
algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.159494,1399194469.0,80.0,106008967.0,8791000424.007185,8791007861.957575,3.56,-95.56407,2019-06-20T14:51:19.480Z,0.087513,80.50975,2023-09-11T19:42:08.247Z
gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,11.33,1330049047.0,81.0,13260933.0,117344473.53114802,300000000.0,25.94,-56.40855,2025-01-25T03:07:37.823Z,0.25754,4290.52573,2020-03-13T02:18:02.481Z
paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,3969.22,1322876866.0,82.0,280329768.0,332951.91,332951.91,4448.72,-10.59883,2025-10-16T23:50:09.513Z,1399.64,184.15897,2019-11-18T03:09:35.959Z
bfusd,BFUSD,https://coin-images.coingecko.com/coins/images/68227/large/bfusd.png?1755132827,0.999734,1319648505.0,83.0,69043636.0,1320000000.0,1320000000.0,1.007,-0.71555,2025-10-10T21:40:40.468Z,0.997772,0.19519,2025-09-23T22:06:02.878Z
syrupusdt,syrupUSDT,https://coin-images.coingecko.com/coins/images/69514/large/syrupUSDT.png?1761824990,1.1,1315435998.0,84.0,1633333.0,1194903482.427617,1194903482.427617,1.11,-0.48015,2025-10-10T21:40:27.453Z,1.093,0.68511,2025-09-30T09:40:48.362Z
dash,Dash,https://coin-images.coingecko.com/coins/images/19/large/dash-logo.png?1696501423,103.77,1295305039.0,85.0,1235537296.0,12473042.60861232,12473339.9362455,1493.59,-93.07707,2017-12-20T00:00:00.000Z,0.213899,48240.69357,2014-02-14T00:00:00.000Z
vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.01486128,1274107913.0,86.0,48070475.0,85985041177.0,85985041177.0,0.280991,-94.7471,2021-04-19T01:08:21.675Z,0.00191713,669.90918,2020-03-13T02:29:59.652Z
oseth,StakeWise Staked ETH,https://coin-images.coingecko.com/coins/images/33117/large/Frame_27513839.png?1700732599,3512.4,1260358740.0,87.0,1950021.0,358880.6839472,358880.6839472,5206.8,-32.45111,2025-08-24T19:14:00.394Z,1459.73,140.94452,2025-04-09T01:32:44.161Z
atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,2.63,1252054903.0,88.0,119476460.0,476626284.881287,476627706.016749,44.45,-94.10738,2022-01-17T00:34:41.497Z,1.16,125.77774,2020-03-13T02:27:44.591Z
rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,3501.15,1249298705.0,89.0,783448.0,357300.1592007516,357300.1592007516,5190.42,-32.6356,2025-08-24T19:13:49.359Z,1029.61,239.59484,2025-09-02T07:53:14.684Z
wbnb,Wrapped BNB,https://coin-images.coingecko.com/coins/images/12591/large/binance-coin-logo.png?1696512401,956.47,1246368631.0,90.0,1296991303.0,1304423.621317734,1304423.621317734,1372.03,-30.28802,2025-10-13T08:47:24.374Z,23.6,3952.31229,2020-09-24T13:48:40.532Z
lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,102961.0,1245926564.0,91.0,23247158.0,12118.42649873,12118.42649873,125812.0,-18.27825,2025-10-06T19:07:38.572Z,52119.0,97.27075,2024-09-06T21:01:52.094Z
kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.04606469,1233438966.0,93.0,75447582.0,26777148610.50726,26886079718.71985,0.207411,-77.9015,2024-08-01T00:40:47.164Z,0.00017105,26696.16749,2022-05-26T14:42:59.316Z
fbtc,Function FBTC,https://coin-images.coingecko.com/coins/images/39182/large/Function_Token_%282%29.png?1760254065,102742.0,1230067956.0,92.0,2059420.0,11973.49134378,11973.49134378,127954.0,-19.6559,2025-10-06T12:50:40.428Z,11469.83,796.29572,2024-09-10T18:18:02.102Z
hash,Provenance Blockchain,https://coin-images.coingecko.com/coins/images/66154/large/Hastra_Icon.png?1748497203,0.02399794,1217914465.0,94.0,12408.46,50750798054.0,100000000000.0,0.060147,-60.10115,2025-09-14T16:52:41.627Z,0.01378736,74.05753,2025-06-04T11:15:56.153Z
syrupusdc,syrupUSDC,https://coin-images.coingecko.com/coins/images/54658/large/syrupUSDC.png?1761824955,1.13,1208307498.0,95.0,32858702.0,1065328568.669043,1065328568.669043,1.14,-0.16102,2025-08-17T23:46:01.758Z,1.055,7.58276,2025-08-01T06:27:19.933Z
lseth,Liquid Staked ETH,https://coin-images.coingecko.com/coins/images/28848/large/LsETH-receipt-token-circle.png?1696527824,3596.54,1195927205.0,96.0,290902.0,332827.0148136274,332827.0148136274,5334.09,-32.5917,2025-08-24T19:17:38.271Z,1384.61,159.68526,2023-03-10T11:26:12.210Z
sky,Sky,https://coin-images.coingecko.com/coins/images/39925/large/sky.jpg?1724827980,0.052123,1189218306.0,97.0,23681977.0,22871235936.52614,23462665147.36596,0.100535,-48.28133,2024-12-04T10:13:57.264Z,0.03582727,45.12824,2025-02-03T05:01:48.626Z
qnt,Quant,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,81.39,1186939248.0,98.0,39887494.0,14544176.164081175,14612493.0,427.42,-80.60065,2021-09-11T09:15:00.668Z,0.215773,38327.89647,2018-08-23T00:00:00.000Z
ip,Story,https://coin-images.coingecko.com/coins/images/54035/large/Transparent_bg.png?1738075331,3.63,1169927823.0,99.0,78653222.0,322792861.27,1017176848.83,14.78,-75.5112,2025-09-21T21:07:34.521Z,1.0,262.00977,2025-02-14T03:11:08.309Z
flr,Flare,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,0.01478376,1154383985.0,100.0,18319986.0,78176065500.16266,104244569187.488,0.150073,-90.15341,2023-01-10T03:14:05.921Z,0.00827405,78.59523,2023-10-19T03:35:41.663Z
usdc,Binance Bridged USDC (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35220/large/USDC.jpg?1707919050,0.999605,1140052809.0,101.0,507377753.0,1138999879.839804,1138999879.839804,1.031,-2.99979,2024-03-05T20:15:29.285Z,0.942892,6.07058,2024-12-05T22:30:25.440Z
jup,Jupiter,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,0.349789,1121150662.0,102.0,73393008.0,3218688888.86,6999010190.676719,2.0,-82.60214,2024-01-31T15:02:47.304Z,0.212468,63.7699,2025-10-10T21:28:07.176Z
solvbtc,Solv Protocol BTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,102675.0,1040639747.0,103.0,733887.0,10143.41015352868,10143.41015352868,125693.0,-18.36445,2025-10-06T17:25:17.426Z,49058.0,109.16196,2024-08-05T06:28:45.311Z
nexo,NEXO,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,1.039,1036649661.0,104.0,29471432.0,1000000000.0,1000000000.0,4.07,-74.58619,2021-05-12T14:37:47.535Z,0.04515276,2189.61891,2018-09-13T00:00:00.000Z
ezeth,Renzo Restaked ETH,https://coin-images.coingecko.com/coins/images/34753/large/Ezeth_logo_circle.png?1713496404,3551.07,1025632603.0,105.0,2928926.0,289678.7273358107,289678.7273358107,5227.06,-31.97093,2025-08-24T19:25:30.766Z,1454.43,144.48897,2025-04-09T01:30:57.856Z
rlusd,Ripple USD,https://coin-images.coingecko.com/coins/images/39651/large/RLUSD_200x200_%281%29.png?1727376633,0.999883,1025151062.0,106.0,266644464.0,1025198082.539998,1025198082.539998,1.073,-6.78744,2024-12-26T10:45:52.337Z,0.962292,3.91869,2024-12-18T04:40:40.880Z
sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.163791,1018924475.0,107.0,157216178.0,6248888888.0,10000000000.0,1.14,-85.71615,2024-03-16T02:30:23.904Z,0.095364,70.71008,2023-10-19T08:05:30.655Z
usdg,Global Dollar,https://coin-images.coingecko.com/coins/images/51281/large/GDN_USDG_Token_200x200.png?1730484111,0.999718,1011642365.0,108.0,55693789.0,1011923644.126694,1006723644.096625,1.65,-39.57756,2025-01-30T00:11:05.728Z,0.907561,10.15222,2024-11-11T23:55:50.604Z
render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,1.93,994723842.0,109.0,106712056.0,518584616.1640741,533344789.4440741,13.53,-85.8665,2024-03-17T16:30:24.636Z,0.03665669,5118.49206,2020-06-16T13:22:25.900Z
fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,0.996254,992686574.0,110.0,8050391556.0,991171533.6771871,991171533.6771871,1.15,-13.01472,2025-02-03T02:30:49.959Z,0.940377,6.49875,2024-12-05T22:30:51.394Z
bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,1.213e-05,991968731.0,111.0,236559435.0,82109641888729.17,87995306132851.47,5.825e-05,-79.30247,2024-11-20T04:01:06.465Z,8.6142e-08,13895.82096,2022-12-29T22:48:46.755Z
fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,1.36,955966073.0,112.0,233214642.0,706418290.0,1958837435.0,236.84,-99.4304,2021-04-01T13:29:41.564Z,0.848008,59.0805,2025-10-10T21:26:46.200Z
pengu,Pudgy Penguins,https://coin-images.coingecko.com/coins/images/52622/large/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,0.01514939,946653357.0,113.0,362155090.0,62860396090.0,79696577350.56364,0.068447,-77.97463,2024-12-17T13:05:22.873Z,0.00371517,305.78625,2025-04-09T01:31:57.832Z
xdc,XDC Network,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.051251,903747566.0,114.0,59076016.0,17755356066.8,38030934056.7,0.192754,-73.69824,2021-08-21T04:39:48.324Z,0.00039532,12724.54276,2019-07-22T00:00:00.000Z
virtual,Virtuals Protocol,https://coin-images.coingecko.com/coins/images/34057/large/LOGOMARK.png?1708356054,1.35,888369297.0,115.0,386242637.0,656082020.5934123,1000000000.0,5.07,-73.268,2025-01-02T06:15:38.599Z,0.00748604,17986.71906,2024-01-23T20:55:21.653Z
ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,2.01,872364062.0,116.0,22187868.0,433584829.8,870742437.0,4.61,-56.35011,2025-07-27T09:55:16.106Z,0.398142,405.12638,2023-01-21T10:15:39.503Z
ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),https://coin-images.coingecko.com/coins/images/35012/large/ustb.jpeg?1707102680,10.88,867157669.0,117.0,0.0,79691451.54076,79665450.708366,10.88,0.0,2025-11-05T14:20:05.647Z,10.29,5.73995,2025-02-26T09:55:09.261Z
morpho,Morpho,https://coin-images.coingecko.com/coins/images/29837/large/Morpho-token-icon.png?1726771230,1.64,862197411.0,118.0,59295025.0,524409267.9429088,1000000000.0,4.17,-60.64075,2025-01-17T12:46:19.818Z,0.713151,130.17832,2024-11-25T01:55:43.353Z
meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,3602.51,839054926.0,119.0,6700479.0,232043.614091446,232043.7483608838,5312.55,-31.80904,2025-08-24T19:26:54.562Z,1485.62,143.8498,2025-04-09T01:32:38.082Z
wbtc,Arbitrum Bridged WBTC (Arbitrum One),https://coin-images.coingecko.com/coins/images/39532/large/wbtc.png?1722810336,103072.0,828685474.0,120.0,297701032.0,8056.60664579,8056.60664579,126226.0,-18.22744,2025-10-06T19:06:49.202Z,49594.0,108.1264,2024-08-05T13:30:13.831Z
imx,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,0.421145,827246186.0,121.0,30683640.0,1964455307.3898141,2000000000.0,9.52,-95.59852,2021-11-26T01:03:01.536Z,0.334412,25.30007,2025-10-10T21:28:36.503Z
usyc,Circle USYC,https://coin-images.coingecko.com/coins/images/51054/large/Hashnote_SDYC_200x200.png?1730370965,1.1,813230097.0,122.0,1.1,897923901.836036,897923901.836036,1.12,-1.11359,2025-03-04T19:26:50.778Z,1.026,7.62901,2024-12-05T22:31:20.475Z
clbtc,clBTC,https://coin-images.coingecko.com/coins/images/54164/large/clBTC.png?1738482999,102725.0,793367017.0,123.0,56.51,7723.217000000001,7723.217000000001,129190.0,-20.48509,2025-07-24T19:16:34.717Z,51493.0,99.49361,2025-04-21T12:36:24.067Z
ousg,OUSG,https://coin-images.coingecko.com/coins/images/29023/large/OUSG.png?1696527993,113.18,782643835.0,124.0,0.0,6915310.995645027,6915310.995645027,113.18,0.0,2025-11-04T22:00:05.272Z,95.09,19.01862,2023-03-22T20:00:17.106Z
cake,PancakeSwap,https://coin-images.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1696512440,2.25,768215206.0,125.0,186755761.0,342946971.5311703,357314802.6427676,43.96,-94.91169,2021-04-30T10:08:22.934Z,0.194441,1050.50914,2020-11-03T14:29:34.165Z
jupsol,Jupiter Staked SOL,https://coin-images.coingecko.com/coins/images/37482/large/jupsol.png?1714473916,181.63,758655335.0,126.0,15055439.0,4185455.503481602,4185455.503481602,309.67,-41.37865,2025-01-19T11:22:28.048Z,105.7,71.73659,2025-04-07T07:01:06.676Z
aero,Aerodrome Finance,https://coin-images.coingecko.com/coins/images/31745/large/token.png?1696530564,0.851677,755436532.0,127.0,89147002.0,900462781.4495733,1776330407.327852,2.32,-63.86593,2024-12-07T14:00:38.622Z,1.861e-05,4498583.20629,2023-10-17T01:23:50.860Z
dcr,Decred,https://coin-images.coingecko.com/coins/images/329/large/decred.png?1696501665,39.81,689563171.0,128.0,101383840.0,17105446.08490975,17106580.25545919,247.35,-84.10545,2021-04-17T00:41:14.790Z,0.43154,9010.48037,2016-12-26T00:00:00.000Z
cgeth.hashkey,cgETH Hashkey Cloud,https://coin-images.coingecko.com/coins/images/54162/large/Cgeth_Hashkey.png?1738482570,3441.29,688012932.0,129.0,207.03,199929.02,199929.02,4746.13,-27.49273,2025-08-24T19:06:16.774Z,1362.23,152.62162,2025-10-25T14:44:57.711Z
usdx,Stables Labs USDX,https://coin-images.coingecko.com/coins/images/50360/large/USDX200px.png?1731906044,0.99924,684053175.0,130.0,1379475.0,684569140.9177341,684569140.9177341,1.057,-5.5004,2024-12-06T21:42:23.559Z,0.942565,6.00128,2025-10-10T22:12:27.617Z
usdy,Ondo US Dollar Yield,https://coin-images.coingecko.com/coins/images/31700/large/usdy_%281%29.png?1696530524,1.096,683655662.0,131.0,6815303.0,623652164.8822272,624104124.3611293,1.26,-13.20866,2024-03-27T05:24:08.110Z,0.934184,17.34464,2024-01-14T11:40:50.825Z
op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,0.358748,679573322.0,132.0,186199952.0,1896570907.0,4294967296.0,4.84,-92.62673,2024-03-06T08:35:50.817Z,0.322746,10.67036,2025-11-04T21:37:42.211Z
tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,0.814468,676465664.0,133.0,128413668.0,834629226.16795,1151265325.663988,20.85,-96.11822,2024-02-10T14:30:02.495Z,0.510806,58.45491,2025-10-10T21:28:04.078Z
ldo,Lido DAO,https://coin-images.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,0.748735,667872378.0,134.0,113463117.0,895768803.2933229,1000000000.0,7.3,-89.81698,2021-08-20T08:35:20.158Z,0.40615,83.09817,2022-06-18T20:55:12.035Z
inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Other_200x200.png?1738782212,6.68,650534106.0,135.0,145877106.0,97727220.33,100000000.0,52.62,-87.37765,2024-03-14T15:06:22.124Z,0.657401,910.33681,2020-11-03T16:19:30.576Z
stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,0.355226,639160282.0,136.0,31100648.0,1809133568.3426,1809133568.3426,3.86,-90.88987,2024-04-01T12:34:58.342Z,0.04559639,672.08941,2020-03-13T02:29:26.415Z
spx,SPX6900,https://coin-images.coingecko.com/coins/images/31401/large/centeredcoin_%281%29.png?1737048493,0.689613,634750715.0,137.0,66858667.0,930993080.9097897,930993080.9097897,2.27,-69.92105,2025-07-28T11:24:33.852Z,0.00131808,51717.00944,2024-02-04T19:12:19.110Z
tbtc,tBTC,https://coin-images.coingecko.com/coins/images/11224/large/0x18084fba666a33d37592fa2633fd49a74dd93a88.png?1696511155,103540.0,620134166.0,138.0,41967522.0,5994.6924661,5994.6924661,125646.0,-18.64162,2025-10-06T17:18:25.106Z,10104.3,911.68533,2020-09-23T00:00:00.000Z
msol,Marinade Staked SOL,https://coin-images.coingecko.com/coins/images/17752/large/mSOL.png?1696517278,211.61,614813980.0,139.0,33824416.0,2906112.0,2906272.0,363.77,-42.16026,2025-01-19T11:26:02.862Z,8.93,2256.08044,2022-12-29T20:45:33.039Z
crv,Curve DAO,https://coin-images.coingecko.com/coins/images/12124/large/Curve.png?1696511967,0.433535,612700510.0,140.0,187481219.0,1421247968.0,2319985374.250916,15.37,-97.20907,2020-08-14T00:00:00.000Z,0.180354,137.87851,2024-08-05T11:41:26.119Z
bdx,Beldex,https://coin-images.coingecko.com/coins/images/5111/large/Beldex.png?1696505631,0.081623,610407270.0,141.0,10811521.0,7477298026.121099,9938259045.051682,0.450785,-81.9128,2018-12-17T00:00:00.000Z,0.00027519,29528.87343,2019-11-01T11:05:12.090Z
h,Humanity,https://coin-images.coingecko.com/coins/images/66811/large/H_tokenLogo_original.png?1750581252,0.337503,606339189.0,142.0,181663809.0,1825000000.0,10000000000.0,0.388387,-13.35267,2025-10-25T09:06:05.244Z,0.01810273,1758.98555,2025-06-27T01:20:39.339Z
xpl,Plasma,https://coin-images.coingecko.com/coins/images/66489/large/Plasma-symbol-green-1.png?1755142558,0.31835,597703060.0,143.0,601797169.0,1888888888.8889,10000000000.0,1.68,-81.12978,2025-09-28T01:31:40.327Z,0.229687,38.23765,2025-11-04T21:38:05.918Z
grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.05609,591174515.0,144.0,35864012.0,10569268246.64009,10800262816.04821,2.84,-98.0371,2021-02-12T07:28:45.775Z,0.04626017,20.56943,2025-10-10T21:28:00.362Z
usdc.e,Polygon Bridged USDC (Polygon PoS),https://coin-images.coingecko.com/coins/images/33000/large/usdc_normal.png?1758615648,0.9998,587348621.0,145.0,29831103.0,587524045.032274,587524045.032274,1.028,-2.72523,2024-04-14T06:50:14.967Z,0.975633,2.47723,2024-02-28T17:40:28.349Z
liquideth,Ether.Fi Liquid ETH,https://coin-images.coingecko.com/coins/images/70219/large/liquideth.png?1761117977,3552.63,586549241.0,146.0,16791.68,165102.83542086,165102.83542086,4507.99,-21.44892,2025-10-27T05:30:49.462Z,3277.14,8.05397,2025-11-04T21:40:51.518Z
usdai,USDai,https://coin-images.coingecko.com/coins/images/55857/large/USDai_Token_Full_Glyph.png?1755229050,1.004,581690820.0,147.0,16787278.0,578688636.1984514,578688636.1984514,1.19,-15.52338,2025-09-04T16:12:39.608Z,0.769779,30.36151,2025-09-26T20:45:27.490Z
weth,L2 Standard Bridged WETH (Base),https://coin-images.coingecko.com/coins/images/39810/large/weth.png?1724139790,3341.53,581271163.0,148.0,1046133096.0,174295.498991624,174295.498991624,4952.69,-32.43723,2025-08-24T19:25:21.091Z,1394.17,140.0116,2025-04-09T01:31:06.248Z
dai,Polygon PoS Bridged DAI (Polygon POS),https://coin-images.coingecko.com/coins/images/39787/large/dai.png?1724110678,0.999789,571135340.0,149.0,60789877.0,571233682.4323791,571413682.4323791,1.025,-2.45937,2024-12-05T22:35:45.220Z,0.957024,4.46467,2024-12-05T22:30:49.634Z
zk,ZKsync,https://coin-images.coingecko.com/coins/images/38043/large/ZKTokenBlack.png?1718614502,0.078861,570556330.0,150.0,668716097.0,7231769682.371818,21000000000.0,0.320983,-75.40509,2024-06-17T07:44:40.385Z,0.02449451,222.29811,2025-10-10T21:35:23.457Z

